"LAB SESSION REPORT"
"="
"Subject:","Data Structures"
"Faculty:","Dr. Rajesh Kumar"
"Year:","2"
"Department:","Computer Science"
"Section:","A"
"Time Periods:","2 periods"
"Expected Duration:","100 minutes"
"Actual Duration:","6 minutes"
"Start Time:","10/11/2025, 9:54:00 am"
"End Time:","10/11/2025, 10:00:00 am"
"Status:","completed"
"Total Students:","0"
"="

"STUDENT RECORDS"
"Student Name","Student ID","System Number","Login Time","Logout Time","Duration (seconds)","Duration (minutes)","Status"
