"LAB SESSION REPORT"
"="
"Subject:","Data Structures"
"Faculty:","Dr. Rajesh Kumar"
"Year:","2"
"Department:","Computer Science"
"Section:","A"
"Time Periods:","2 periods"
"Expected Duration:","100 minutes"
"Actual Duration:","4 minutes"
"Start Time:","7/11/2025, 10:39:00 am"
"End Time:","7/11/2025, 10:43:00 am"
"Status:","completed"
"Total Students:","0"
"="

"STUDENT RECORDS"
"Student Name","Student ID","System Number","Login Time","Logout Time","Duration (seconds)","Duration (minutes)","Status"
