"LAB SESSION REPORT"
"="
"Subject:","Data Structures"
"Faculty:","Dr. Rajesh Kumar"
"Year:","2"
"Department:","Computer Science"
"Section:","A"
"Time Periods:","2 periods"
"Expected Duration:","100 minutes"
"Actual Duration:","1 minutes"
"Start Time:","5/11/2025, 5:30:01 pm"
"End Time:","5/11/2025, 5:32:00 pm"
"Status:","completed"
"Total Students:","0"
"="

"STUDENT RECORDS"
"Student Name","Student ID","System Number","Login Time","Logout Time","Duration (seconds)","Duration (minutes)","Status"
