"LAB SESSION REPORT"
"="
"Subject:","Data Structures"
"Faculty:","Dr. Rajesh Kumar"
"Year:","2"
"Department:","Computer Science"
"Section:","A"
"Time Periods:","2 periods"
"Expected Duration:","100 minutes"
"Actual Duration:","2 minutes"
"Start Time:","4/12/2025, 4:50:00 pm"
"End Time:","4/12/2025, 4:53:00 pm"
"Status:","completed"
"Total Students:","0"
"="

"STUDENT RECORDS"
"Student Name","Student ID","System Number","Login Time","Logout Time","Duration (seconds)","Duration (minutes)","Status"
